成就编号	成就ICON	等级需求	成就名称	成就描述	任务类型	完成条件	金币	银币	活力	体力	经验	掉落	任务链 id	任务链顺序
295	m10001	1	挑战竞技场55	挑战7430次竞技场	6	7430	0	0	55	0	2750	0	6	55
296	m10001	1	挑战竞技场56	挑战7705次竞技场	6	7705	0	0	56	0	2800	0	6	56
297	m10001	1	挑战竞技场57	挑战7985次竞技场	6	7985	0	0	57	0	2850	0	6	57
298	m10001	1	挑战竞技场58	挑战8270次竞技场	6	8270	0	0	58	0	2900	0	6	58
299	m10001	1	挑战竞技场59	挑战8560次竞技场	6	8560	0	0	59	0	2950	0	6	59
300	m10001	1	挑战竞技场60	挑战8855次竞技场	6	8855	0	0	60	0	3000	0	6	60
301	m10007	1	挑战魔法堂1	挑战5次魔法堂	7	5	0	0	0	0	50	20017|1|1	7	1
302	m10007	1	挑战魔法堂2	挑战10次魔法堂	7	10	0	0	0	0	100	20017|1|2	7	2
303	m10007	1	挑战魔法堂3	挑战20次魔法堂	7	20	0	0	0	0	150	20017|1|3	7	3
304	m10007	1	挑战魔法堂4	挑战35次魔法堂	7	35	0	0	0	0	200	20017|1|4	7	4
305	m10007	1	挑战魔法堂5	挑战55次魔法堂	7	55	0	0	0	0	250	20017|1|5	7	5
306	m10007	1	挑战魔法堂6	挑战80次魔法堂	7	80	0	0	0	0	300	20017|1|6	7	6
307	m10007	1	挑战魔法堂7	挑战110次魔法堂	7	110	0	0	0	0	350	20017|1|7	7	7
308	m10007	1	挑战魔法堂8	挑战145次魔法堂	7	145	0	0	0	0	400	20017|1|8	7	8
309	m10007	1	挑战魔法堂9	挑战185次魔法堂	7	185	0	0	0	0	450	20017|1|9	7	9
310	m10007	1	挑战魔法堂10	挑战230次魔法堂	7	230	0	0	0	0	500	20017|1|10	7	10
311	m10007	1	挑战魔法堂11	挑战280次魔法堂	7	280	0	0	0	0	550	20017|1|11	7	11
312	m10007	1	挑战魔法堂12	挑战335次魔法堂	7	335	0	0	0	0	600	20017|1|12	7	12
313	m10007	1	挑战魔法堂13	挑战395次魔法堂	7	395	0	0	0	0	650	20017|1|13	7	13
314	m10007	1	挑战魔法堂14	挑战460次魔法堂	7	460	0	0	0	0	700	20017|1|14	7	14
315	m10007	1	挑战魔法堂15	挑战530次魔法堂	7	530	0	0	0	0	750	20017|1|15	7	15
316	m10007	1	挑战魔法堂16	挑战605次魔法堂	7	605	0	0	0	0	800	20017|1|16	7	16
317	m10007	1	挑战魔法堂17	挑战685次魔法堂	7	685	0	0	0	0	850	20017|1|17	7	17
318	m10007	1	挑战魔法堂18	挑战770次魔法堂	7	770	0	0	0	0	900	20017|1|18	7	18
319	m10007	1	挑战魔法堂19	挑战860次魔法堂	7	860	0	0	0	0	950	20017|1|19	7	19
320	m10007	1	挑战魔法堂20	挑战955次魔法堂	7	955	0	0	0	0	1000	20017|1|20	7	20
321	m10007	1	挑战魔法堂21	挑战1055次魔法堂	7	1055	0	0	0	0	1050	20017|1|21	7	21
322	m10007	1	挑战魔法堂22	挑战1160次魔法堂	7	1160	0	0	0	0	1100	20017|1|22	7	22
323	m10007	1	挑战魔法堂23	挑战1270次魔法堂	7	1270	0	0	0	0	1150	20017|1|23	7	23
324	m10007	1	挑战魔法堂24	挑战1385次魔法堂	7	1385	0	0	0	0	1200	20017|1|24	7	24
325	m10007	1	挑战魔法堂25	挑战1505次魔法堂	7	1505	0	0	0	0	1250	20017|1|25	7	25
326	m10007	1	挑战魔法堂26	挑战1630次魔法堂	7	1630	0	0	0	0	1300	20017|1|26	7	26
327	m10007	1	挑战魔法堂27	挑战1760次魔法堂	7	1760	0	0	0	0	1350	20017|1|27	7	27
328	m10007	1	挑战魔法堂28	挑战1895次魔法堂	7	1895	0	0	0	0	1400	20017|1|28	7	28
329	m10007	1	挑战魔法堂29	挑战2035次魔法堂	7	2035	0	0	0	0	1450	20017|1|29	7	29
330	m10007	1	挑战魔法堂30	挑战2180次魔法堂	7	2180	0	0	0	0	1500	20017|1|30	7	30
331	m10007	1	挑战魔法堂31	挑战2330次魔法堂	7	2330	0	0	0	0	1550	20017|1|31	7	31
332	m10007	1	挑战魔法堂32	挑战2485次魔法堂	7	2485	0	0	0	0	1600	20017|1|32	7	32
333	m10007	1	挑战魔法堂33	挑战2645次魔法堂	7	2645	0	0	0	0	1650	20017|1|33	7	33
334	m10007	1	挑战魔法堂34	挑战2810次魔法堂	7	2810	0	0	0	0	1700	20017|1|34	7	34
335	m10007	1	挑战魔法堂35	挑战2980次魔法堂	7	2980	0	0	0	0	1750	20017|1|35	7	35
336	m10007	1	挑战魔法堂36	挑战3155次魔法堂	7	3155	0	0	0	0	1800	20017|1|36	7	36
337	m10007	1	挑战魔法堂37	挑战3335次魔法堂	7	3335	0	0	0	0	1850	20017|1|37	7	37
338	m10007	1	挑战魔法堂38	挑战3520次魔法堂	7	3520	0	0	0	0	1900	20017|1|38	7	38
339	m10007	1	挑战魔法堂39	挑战3710次魔法堂	7	3710	0	0	0	0	1950	20017|1|39	7	39
340	m10007	1	挑战魔法堂40	挑战3905次魔法堂	7	3905	0	0	0	0	2000	20017|1|40	7	40
341	m10007	1	挑战魔法堂41	挑战4105次魔法堂	7	4105	0	0	0	0	2050	20017|1|41	7	41
342	m10007	1	挑战魔法堂42	挑战4310次魔法堂	7	4310	0	0	0	0	2100	20017|1|42	7	42
343	m10007	1	挑战魔法堂43	挑战4520次魔法堂	7	4520	0	0	0	0	2150	20017|1|43	7	43
344	m10007	1	挑战魔法堂44	挑战4735次魔法堂	7	4735	0	0	0	0	2200	20017|1|44	7	44
345	m10007	1	挑战魔法堂45	挑战4955次魔法堂	7	4955	0	0	0	0	2250	20017|1|45	7	45
346	m10007	1	挑战魔法堂46	挑战5180次魔法堂	7	5180	0	0	0	0	2300	20017|1|46	7	46
347	m10007	1	挑战魔法堂47	挑战5410次魔法堂	7	5410	0	0	0	0	2350	20017|1|47	7	47
348	m10007	1	挑战魔法堂48	挑战5645次魔法堂	7	5645	0	0	0	0	2400	20017|1|48	7	48
349	m10007	1	挑战魔法堂49	挑战5885次魔法堂	7	5885	0	0	0	0	2450	20017|1|49	7	49
350	m10007	1	挑战魔法堂50	挑战6130次魔法堂	7	6130	0	0	0	0	2500	20017|1|50	7	50
351	m10007	1	挑战魔法堂51	挑战6380次魔法堂	7	6380	0	0	0	0	2550	20017|1|51	7	51
352	m10007	1	挑战魔法堂52	挑战6635次魔法堂	7	6635	0	0	0	0	2600	20017|1|52	7	52
353	m10007	1	挑战魔法堂53	挑战6895次魔法堂	7	6895	0	0	0	0	2650	20017|1|53	7	53
354	m10007	1	挑战魔法堂54	挑战7160次魔法堂	7	7160	0	0	0	0	2700	20017|1|54	7	54
355	m10007	1	挑战魔法堂55	挑战7430次魔法堂	7	7430	0	0	0	0	2750	20017|1|55	7	55
356	m10007	1	挑战魔法堂56	挑战7705次魔法堂	7	7705	0	0	0	0	2800	20017|1|56	7	56
357	m10007	1	挑战魔法堂57	挑战7985次魔法堂	7	7985	0	0	0	0	2850	20017|1|57	7	57
358	m10007	1	挑战魔法堂58	挑战8270次魔法堂	7	8270	0	0	0	0	2900	20017|1|58	7	58
359	m10007	1	挑战魔法堂59	挑战8560次魔法堂	7	8560	0	0	0	0	2950	20017|1|59	7	59
360	m10007	1	挑战魔法堂60	挑战8855次魔法堂	7	8855	0	0	0	0	3000	20017|1|60	7	60
361	m10008	1	挑战肉山1	挑战5次肉山	8	5	0	0	0	0	50	20014|1|1	8	1
362	m10008	1	挑战肉山2	挑战10次肉山	8	10	0	0	0	0	100	20014|1|2	8	2
363	m10008	1	挑战肉山3	挑战20次肉山	8	20	0	0	0	0	150	20014|1|3	8	3
364	m10008	1	挑战肉山4	挑战35次肉山	8	35	0	0	0	0	200	20014|1|4	8	4
365	m10008	1	挑战肉山5	挑战55次肉山	8	55	0	0	0	0	250	20014|1|5	8	5
366	m10008	1	挑战肉山6	挑战80次肉山	8	80	0	0	0	0	300	20014|1|6	8	6
367	m10008	1	挑战肉山7	挑战110次肉山	8	110	0	0	0	0	350	20014|1|7	8	7
368	m10008	1	挑战肉山8	挑战145次肉山	8	145	0	0	0	0	400	20014|1|8	8	8
369	m10008	1	挑战肉山9	挑战185次肉山	8	185	0	0	0	0	450	20014|1|9	8	9
370	m10008	1	挑战肉山10	挑战230次肉山	8	230	0	0	0	0	500	20014|1|10	8	10
371	m10008	1	挑战肉山11	挑战280次肉山	8	280	0	0	0	0	550	20014|1|11	8	11
372	m10008	1	挑战肉山12	挑战335次肉山	8	335	0	0	0	0	600	20014|1|12	8	12
373	m10008	1	挑战肉山13	挑战395次肉山	8	395	0	0	0	0	650	20014|1|13	8	13
374	m10008	1	挑战肉山14	挑战460次肉山	8	460	0	0	0	0	700	20014|1|14	8	14
375	m10008	1	挑战肉山15	挑战530次肉山	8	530	0	0	0	0	750	20014|1|15	8	15
376	m10008	1	挑战肉山16	挑战605次肉山	8	605	0	0	0	0	800	20014|1|16	8	16
377	m10008	1	挑战肉山17	挑战685次肉山	8	685	0	0	0	0	850	20014|1|17	8	17
378	m10008	1	挑战肉山18	挑战770次肉山	8	770	0	0	0	0	900	20014|1|18	8	18
379	m10008	1	挑战肉山19	挑战860次肉山	8	860	0	0	0	0	950	20014|1|19	8	19
380	m10008	1	挑战肉山20	挑战955次肉山	8	955	0	0	0	0	1000	20014|1|20	8	20
381	m10008	1	挑战肉山21	挑战1055次肉山	8	1055	0	0	0	0	1050	20014|1|21	8	21
382	m10008	1	挑战肉山22	挑战1160次肉山	8	1160	0	0	0	0	1100	20014|1|22	8	22
383	m10008	1	挑战肉山23	挑战1270次肉山	8	1270	0	0	0	0	1150	20014|1|23	8	23
384	m10008	1	挑战肉山24	挑战1385次肉山	8	1385	0	0	0	0	1200	20014|1|24	8	24
385	m10008	1	挑战肉山25	挑战1505次肉山	8	1505	0	0	0	0	1250	20014|1|25	8	25
386	m10008	1	挑战肉山26	挑战1630次肉山	8	1630	0	0	0	0	1300	20014|1|26	8	26
387	m10008	1	挑战肉山27	挑战1760次肉山	8	1760	0	0	0	0	1350	20014|1|27	8	27
388	m10008	1	挑战肉山28	挑战1895次肉山	8	1895	0	0	0	0	1400	20014|1|28	8	28
389	m10008	1	挑战肉山29	挑战2035次肉山	8	2035	0	0	0	0	1450	20014|1|29	8	29
390	m10008	1	挑战肉山30	挑战2180次肉山	8	2180	0	0	0	0	1500	20014|1|30	8	30
391	m10008	1	挑战肉山31	挑战2330次肉山	8	2330	0	0	0	0	1550	20014|1|31	8	31
392	m10008	1	挑战肉山32	挑战2485次肉山	8	2485	0	0	0	0	1600	20014|1|32	8	32
393	m10008	1	挑战肉山33	挑战2645次肉山	8	2645	0	0	0	0	1650	20014|1|33	8	33
394	m10008	1	挑战肉山34	挑战2810次肉山	8	2810	0	0	0	0	1700	20014|1|34	8	34
395	m10008	1	挑战肉山35	挑战2980次肉山	8	2980	0	0	0	0	1750	20014|1|35	8	35
396	m10008	1	挑战肉山36	挑战3155次肉山	8	3155	0	0	0	0	1800	20014|1|36	8	36
397	m10008	1	挑战肉山37	挑战3335次肉山	8	3335	0	0	0	0	1850	20014|1|37	8	37
398	m10008	1	挑战肉山38	挑战3520次肉山	8	3520	0	0	0	0	1900	20014|1|38	8	38
399	m10008	1	挑战肉山39	挑战3710次肉山	8	3710	0	0	0	0	1950	20014|1|39	8	39
400	m10008	1	挑战肉山40	挑战3905次肉山	8	3905	0	0	0	0	2000	20014|1|40	8	40
401	m10008	1	挑战肉山41	挑战4105次肉山	8	4105	0	0	0	0	2050	20014|1|41	8	41
402	m10008	1	挑战肉山42	挑战4310次肉山	8	4310	0	0	0	0	2100	20014|1|42	8	42
403	m10008	1	挑战肉山43	挑战4520次肉山	8	4520	0	0	0	0	2150	20014|1|43	8	43
404	m10008	1	挑战肉山44	挑战4735次肉山	8	4735	0	0	0	0	2200	20014|1|44	8	44
405	m10008	1	挑战肉山45	挑战4955次肉山	8	4955	0	0	0	0	2250	20014|1|45	8	45
406	m10008	1	挑战肉山46	挑战5180次肉山	8	5180	0	0	0	0	2300	20014|1|46	8	46
407	m10008	1	挑战肉山47	挑战5410次肉山	8	5410	0	0	0	0	2350	20014|1|47	8	47
408	m10008	1	挑战肉山48	挑战5645次肉山	8	5645	0	0	0	0	2400	20014|1|48	8	48
409	m10008	1	挑战肉山49	挑战5885次肉山	8	5885	0	0	0	0	2450	20014|1|49	8	49
410	m10008	1	挑战肉山50	挑战6130次肉山	8	6130	0	0	0	0	2500	20014|1|50	8	50
411	m10008	1	挑战肉山51	挑战6380次肉山	8	6380	0	0	0	0	2550	20014|1|51	8	51
412	m10008	1	挑战肉山52	挑战6635次肉山	8	6635	0	0	0	0	2600	20014|1|52	8	52
413	m10008	1	挑战肉山53	挑战6895次肉山	8	6895	0	0	0	0	2650	20014|1|53	8	53
414	m10008	1	挑战肉山54	挑战7160次肉山	8	7160	0	0	0	0	2700	20014|1|54	8	54
415	m10008	1	挑战肉山55	挑战7430次肉山	8	7430	0	0	0	0	2750	20014|1|55	8	55
416	m10008	1	挑战肉山56	挑战7705次肉山	8	7705	0	0	0	0	2800	20014|1|56	8	56
417	m10008	1	挑战肉山57	挑战7985次肉山	8	7985	0	0	0	0	2850	20014|1|57	8	57
418	m10008	1	挑战肉山58	挑战8270次肉山	8	8270	0	0	0	0	2900	20014|1|58	8	58
419	m10008	1	挑战肉山59	挑战8560次肉山	8	8560	0	0	0	0	2950	20014|1|59	8	59
420	m10008	1	挑战肉山60	挑战8855次肉山	8	8855	0	0	0	0	3000	20014|1|60	8	60
421	m10009	1	挑战野区1	挑战5次野区	9	5	0	0	0	0	50	20020|1|1	9	1
422	m10009	1	挑战野区2	挑战10次野区	9	10	0	0	0	0	100	20020|1|2	9	2
423	m10009	1	挑战野区3	挑战20次野区	9	20	0	0	0	0	150	20020|1|3	9	3
424	m10009	1	挑战野区4	挑战35次野区	9	35	0	0	0	0	200	20020|1|4	9	4
425	m10009	1	挑战野区5	挑战55次野区	9	55	0	0	0	0	250	20020|1|5	9	5
426	m10009	1	挑战野区6	挑战80次野区	9	80	0	0	0	0	300	20020|1|6	9	6
427	m10009	1	挑战野区7	挑战110次野区	9	110	0	0	0	0	350	20020|1|7	9	7
428	m10009	1	挑战野区8	挑战145次野区	9	145	0	0	0	0	400	20020|1|8	9	8
429	m10009	1	挑战野区9	挑战185次野区	9	185	0	0	0	0	450	20020|1|9	9	9
430	m10009	1	挑战野区10	挑战230次野区	9	230	0	0	0	0	500	20020|1|10	9	10
431	m10009	1	挑战野区11	挑战280次野区	9	280	0	0	0	0	550	20020|1|11	9	11
432	m10009	1	挑战野区12	挑战335次野区	9	335	0	0	0	0	600	20020|1|12	9	12
433	m10009	1	挑战野区13	挑战395次野区	9	395	0	0	0	0	650	20020|1|13	9	13
434	m10009	1	挑战野区14	挑战460次野区	9	460	0	0	0	0	700	20020|1|14	9	14
435	m10009	1	挑战野区15	挑战530次野区	9	530	0	0	0	0	750	20020|1|15	9	15
436	m10009	1	挑战野区16	挑战605次野区	9	605	0	0	0	0	800	20020|1|16	9	16
437	m10009	1	挑战野区17	挑战685次野区	9	685	0	0	0	0	850	20020|1|17	9	17
438	m10009	1	挑战野区18	挑战770次野区	9	770	0	0	0	0	900	20020|1|18	9	18
439	m10009	1	挑战野区19	挑战860次野区	9	860	0	0	0	0	950	20020|1|19	9	19
440	m10009	1	挑战野区20	挑战955次野区	9	955	0	0	0	0	1000	20020|1|20	9	20
441	m10009	1	挑战野区21	挑战1055次野区	9	1055	0	0	0	0	1050	20020|1|21	9	21
442	m10009	1	挑战野区22	挑战1160次野区	9	1160	0	0	0	0	1100	20020|1|22	9	22
443	m10009	1	挑战野区23	挑战1270次野区	9	1270	0	0	0	0	1150	20020|1|23	9	23
444	m10009	1	挑战野区24	挑战1385次野区	9	1385	0	0	0	0	1200	20020|1|24	9	24
445	m10009	1	挑战野区25	挑战1505次野区	9	1505	0	0	0	0	1250	20020|1|25	9	25
446	m10009	1	挑战野区26	挑战1630次野区	9	1630	0	0	0	0	1300	20020|1|26	9	26
447	m10009	1	挑战野区27	挑战1760次野区	9	1760	0	0	0	0	1350	20020|1|27	9	27
448	m10009	1	挑战野区28	挑战1895次野区	9	1895	0	0	0	0	1400	20020|1|28	9	28
449	m10009	1	挑战野区29	挑战2035次野区	9	2035	0	0	0	0	1450	20020|1|29	9	29
450	m10009	1	挑战野区30	挑战2180次野区	9	2180	0	0	0	0	1500	20020|1|30	9	30
451	m10009	1	挑战野区31	挑战2330次野区	9	2330	0	0	0	0	1550	20020|1|31	9	31
452	m10009	1	挑战野区32	挑战2485次野区	9	2485	0	0	0	0	1600	20020|1|32	9	32
453	m10009	1	挑战野区33	挑战2645次野区	9	2645	0	0	0	0	1650	20020|1|33	9	33
454	m10009	1	挑战野区34	挑战2810次野区	9	2810	0	0	0	0	1700	20020|1|34	9	34
455	m10009	1	挑战野区35	挑战2980次野区	9	2980	0	0	0	0	1750	20020|1|35	9	35
456	m10009	1	挑战野区36	挑战3155次野区	9	3155	0	0	0	0	1800	20020|1|36	9	36
457	m10009	1	挑战野区37	挑战3335次野区	9	3335	0	0	0	0	1850	20020|1|37	9	37
458	m10009	1	挑战野区38	挑战3520次野区	9	3520	0	0	0	0	1900	20020|1|38	9	38
459	m10009	1	挑战野区39	挑战3710次野区	9	3710	0	0	0	0	1950	20020|1|39	9	39
460	m10009	1	挑战野区40	挑战3905次野区	9	3905	0	0	0	0	2000	20020|1|40	9	40
461	m10009	1	挑战野区41	挑战4105次野区	9	4105	0	0	0	0	2050	20020|1|41	9	41
462	m10009	1	挑战野区42	挑战4310次野区	9	4310	0	0	0	0	2100	20020|1|42	9	42
463	m10009	1	挑战野区43	挑战4520次野区	9	4520	0	0	0	0	2150	20020|1|43	9	43
464	m10009	1	挑战野区44	挑战4735次野区	9	4735	0	0	0	0	2200	20020|1|44	9	44
465	m10009	1	挑战野区45	挑战4955次野区	9	4955	0	0	0	0	2250	20020|1|45	9	45
466	m10009	1	挑战野区46	挑战5180次野区	9	5180	0	0	0	0	2300	20020|1|46	9	46
467	m10009	1	挑战野区47	挑战5410次野区	9	5410	0	0	0	0	2350	20020|1|47	9	47
468	m10009	1	挑战野区48	挑战5645次野区	9	5645	0	0	0	0	2400	20020|1|48	9	48
469	m10009	1	挑战野区49	挑战5885次野区	9	5885	0	0	0	0	2450	20020|1|49	9	49
470	m10009	1	挑战野区50	挑战6130次野区	9	6130	0	0	0	0	2500	20020|1|50	9	50
471	m10009	1	挑战野区51	挑战6380次野区	9	6380	0	0	0	0	2550	20020|1|51	9	51
472	m10009	1	挑战野区52	挑战6635次野区	9	6635	0	0	0	0	2600	20020|1|52	9	52
473	m10009	1	挑战野区53	挑战6895次野区	9	6895	0	0	0	0	2650	20020|1|53	9	53
474	m10009	1	挑战野区54	挑战7160次野区	9	7160	0	0	0	0	2700	20020|1|54	9	54
475	m10009	1	挑战野区55	挑战7430次野区	9	7430	0	0	0	0	2750	20020|1|55	9	55
476	m10009	1	挑战野区56	挑战7705次野区	9	7705	0	0	0	0	2800	20020|1|56	9	56
477	m10009	1	挑战野区57	挑战7985次野区	9	7985	0	0	0	0	2850	20020|1|57	9	57
478	m10009	1	挑战野区58	挑战8270次野区	9	8270	0	0	0	0	2900	20020|1|58	9	58
479	m10009	1	挑战野区59	挑战8560次野区	9	8560	0	0	0	0	2950	20020|1|59	9	59
480	m10009	1	挑战野区60	挑战8855次野区	9	8855	0	0	0	0	3000	20020|1|60	9	60
481	m10010	1	抓捕奴隶1	抓捕5次奴隶	10	5	0	0	0	0	50	20008|1|5	10	1
482	m10010	1	抓捕奴隶2	抓捕10次奴隶	10	10	0	0	0	0	100	20008|1|10	10	2
483	m10010	1	抓捕奴隶3	抓捕20次奴隶	10	20	0	0	0	0	150	20008|1|15	10	3
484	m10010	1	抓捕奴隶4	抓捕35次奴隶	10	35	0	0	0	0	200	20008|1|20	10	4
485	m10010	1	抓捕奴隶5	抓捕55次奴隶	10	55	0	0	0	0	250	20008|1|25	10	5
486	m10010	1	抓捕奴隶6	抓捕80次奴隶	10	80	0	0	0	0	300	20008|1|30	10	6
487	m10010	1	抓捕奴隶7	抓捕110次奴隶	10	110	0	0	0	0	350	20008|1|35	10	7
488	m10010	1	抓捕奴隶8	抓捕145次奴隶	10	145	0	0	0	0	400	20008|1|40	10	8
489	m10010	1	抓捕奴隶9	抓捕185次奴隶	10	185	0	0	0	0	450	20008|1|45	10	9
490	m10010	1	抓捕奴隶10	抓捕230次奴隶	10	230	0	0	0	0	500	20008|1|50	10	10
491	m10010	1	抓捕奴隶11	抓捕280次奴隶	10	280	0	0	0	0	550	20008|1|55	10	11
492	m10010	1	抓捕奴隶12	抓捕335次奴隶	10	335	0	0	0	0	600	20008|1|60	10	12
493	m10010	1	抓捕奴隶13	抓捕395次奴隶	10	395	0	0	0	0	650	20008|1|65	10	13
494	m10010	1	抓捕奴隶14	抓捕460次奴隶	10	460	0	0	0	0	700	20008|1|70	10	14
495	m10010	1	抓捕奴隶15	抓捕530次奴隶	10	530	0	0	0	0	750	20008|1|75	10	15
496	m10010	1	抓捕奴隶16	抓捕605次奴隶	10	605	0	0	0	0	800	20008|1|80	10	16
497	m10010	1	抓捕奴隶17	抓捕685次奴隶	10	685	0	0	0	0	850	20008|1|85	10	17
498	m10010	1	抓捕奴隶18	抓捕770次奴隶	10	770	0	0	0	0	900	20008|1|90	10	18
499	m10010	1	抓捕奴隶19	抓捕860次奴隶	10	860	0	0	0	0	950	20008|1|95	10	19
500	m10010	1	抓捕奴隶20	抓捕955次奴隶	10	955	0	0	0	0	1000	20008|1|100	10	20
501	m10010	1	抓捕奴隶21	抓捕1055次奴隶	10	1055	0	0	0	0	1050	20008|1|105	10	21
502	m10010	1	抓捕奴隶22	抓捕1160次奴隶	10	1160	0	0	0	0	1100	20008|1|110	10	22
503	m10010	1	抓捕奴隶23	抓捕1270次奴隶	10	1270	0	0	0	0	1150	20008|1|115	10	23
504	m10010	1	抓捕奴隶24	抓捕1385次奴隶	10	1385	0	0	0	0	1200	20008|1|120	10	24
505	m10010	1	抓捕奴隶25	抓捕1505次奴隶	10	1505	0	0	0	0	1250	20008|1|125	10	25
506	m10010	1	抓捕奴隶26	抓捕1630次奴隶	10	1630	0	0	0	0	1300	20008|1|130	10	26
507	m10010	1	抓捕奴隶27	抓捕1760次奴隶	10	1760	0	0	0	0	1350	20008|1|135	10	27
508	m10010	1	抓捕奴隶28	抓捕1895次奴隶	10	1895	0	0	0	0	1400	20008|1|140	10	28
509	m10010	1	抓捕奴隶29	抓捕2035次奴隶	10	2035	0	0	0	0	1450	20008|1|145	10	29
510	m10010	1	抓捕奴隶30	抓捕2180次奴隶	10	2180	0	0	0	0	1500	20008|1|150	10	30
511	m10010	1	抓捕奴隶31	抓捕2330次奴隶	10	2330	0	0	0	0	1550	20008|1|155	10	31
512	m10010	1	抓捕奴隶32	抓捕2485次奴隶	10	2485	0	0	0	0	1600	20008|1|160	10	32
513	m10010	1	抓捕奴隶33	抓捕2645次奴隶	10	2645	0	0	0	0	1650	20008|1|165	10	33
514	m10010	1	抓捕奴隶34	抓捕2810次奴隶	10	2810	0	0	0	0	1700	20008|1|170	10	34
515	m10010	1	抓捕奴隶35	抓捕2980次奴隶	10	2980	0	0	0	0	1750	20008|1|175	10	35
516	m10010	1	抓捕奴隶36	抓捕3155次奴隶	10	3155	0	0	0	0	1800	20008|1|180	10	36
517	m10010	1	抓捕奴隶37	抓捕3335次奴隶	10	3335	0	0	0	0	1850	20008|1|185	10	37
518	m10010	1	抓捕奴隶38	抓捕3520次奴隶	10	3520	0	0	0	0	1900	20008|1|190	10	38
519	m10010	1	抓捕奴隶39	抓捕3710次奴隶	10	3710	0	0	0	0	1950	20008|1|195	10	39
520	m10010	1	抓捕奴隶40	抓捕3905次奴隶	10	3905	0	0	0	0	2000	20008|1|200	10	40
521	m10010	1	抓捕奴隶41	抓捕4105次奴隶	10	4105	0	0	0	0	2050	20008|1|205	10	41
522	m10010	1	抓捕奴隶42	抓捕4310次奴隶	10	4310	0	0	0	0	2100	20008|1|210	10	42
523	m10010	1	抓捕奴隶43	抓捕4520次奴隶	10	4520	0	0	0	0	2150	20008|1|215	10	43
524	m10010	1	抓捕奴隶44	抓捕4735次奴隶	10	4735	0	0	0	0	2200	20008|1|220	10	44
525	m10010	1	抓捕奴隶45	抓捕4955次奴隶	10	4955	0	0	0	0	2250	20008|1|225	10	45
526	m10010	1	抓捕奴隶46	抓捕5180次奴隶	10	5180	0	0	0	0	2300	20008|1|230	10	46
527	m10010	1	抓捕奴隶47	抓捕5410次奴隶	10	5410	0	0	0	0	2350	20008|1|235	10	47
528	m10010	1	抓捕奴隶48	抓捕5645次奴隶	10	5645	0	0	0	0	2400	20008|1|240	10	48
529	m10010	1	抓捕奴隶49	抓捕5885次奴隶	10	5885	0	0	0	0	2450	20008|1|245	10	49
530	m10010	1	抓捕奴隶50	抓捕6130次奴隶	10	6130	0	0	0	0	2500	20008|1|250	10	50
531	m10010	1	抓捕奴隶51	抓捕6380次奴隶	10	6380	0	0	0	0	2550	20008|1|255	10	51
532	m10010	1	抓捕奴隶52	抓捕6635次奴隶	10	6635	0	0	0	0	2600	20008|1|260	10	52
533	m10010	1	抓捕奴隶53	抓捕6895次奴隶	10	6895	0	0	0	0	2650	20008|1|265	10	53
534	m10010	1	抓捕奴隶54	抓捕7160次奴隶	10	7160	0	0	0	0	2700	20008|1|270	10	54
535	m10010	1	抓捕奴隶55	抓捕7430次奴隶	10	7430	0	0	0	0	2750	20008|1|275	10	55
536	m10010	1	抓捕奴隶56	抓捕7705次奴隶	10	7705	0	0	0	0	2800	20008|1|280	10	56
537	m10010	1	抓捕奴隶57	抓捕7985次奴隶	10	7985	0	0	0	0	2850	20008|1|285	10	57
538	m10010	1	抓捕奴隶58	抓捕8270次奴隶	10	8270	0	0	0	0	2900	20008|1|290	10	58
539	m10010	1	抓捕奴隶59	抓捕8560次奴隶	10	8560	0	0	0	0	2950	20008|1|295	10	59
540	m10010	1	抓捕奴隶60	抓捕8855次奴隶	10	8855	0	0	0	0	3000	20008|1|300	10	60
541	m10011	1	采集银矿1	采集5次银矿	11	5	0	50	0	0	50	0	11	1
542	m10011	1	采集银矿2	采集10次银矿	11	10	0	100	0	0	100	0	11	2
543	m10011	1	采集银矿3	采集20次银矿	11	20	0	150	0	0	150	0	11	3
544	m10011	1	采集银矿4	采集35次银矿	11	35	0	200	0	0	200	0	11	4
545	m10011	1	采集银矿5	采集55次银矿	11	55	0	250	0	0	250	0	11	5
546	m10011	1	采集银矿6	采集80次银矿	11	80	0	300	0	0	300	0	11	6
547	m10011	1	采集银矿7	采集110次银矿	11	110	0	350	0	0	350	0	11	7
548	m10011	1	采集银矿8	采集145次银矿	11	145	0	400	0	0	400	0	11	8
549	m10011	1	采集银矿9	采集185次银矿	11	185	0	450	0	0	450	0	11	9
550	m10011	1	采集银矿10	采集230次银矿	11	230	0	500	0	0	500	0	11	10
551	m10011	1	采集银矿11	采集280次银矿	11	280	0	550	0	0	550	0	11	11
552	m10011	1	采集银矿12	采集335次银矿	11	335	0	600	0	0	600	0	11	12
553	m10011	1	采集银矿13	采集395次银矿	11	395	0	650	0	0	650	0	11	13
554	m10011	1	采集银矿14	采集460次银矿	11	460	0	700	0	0	700	0	11	14
555	m10011	1	采集银矿15	采集530次银矿	11	530	0	750	0	0	750	0	11	15
556	m10011	1	采集银矿16	采集605次银矿	11	605	0	800	0	0	800	0	11	16
557	m10011	1	采集银矿17	采集685次银矿	11	685	0	850	0	0	850	0	11	17
558	m10011	1	采集银矿18	采集770次银矿	11	770	0	900	0	0	900	0	11	18
